anio_mat,entidad_id,ent_regis,municipio_id,mun_regis,tipo_div,causa,hijos,custodia,pension,edad_mdiv1,escol_div1,con_acdiv1,sexo_div1,edad_mdiv2,escol_div2,con_acdiv2,sexo_div2
2016,12,Guerrero,12,Asientos,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,19,Superior,Trabaja,Hombre,17,Preparatoria o equivalente,No trabaja,Mujer
2016,12,Guerrero,12,Asientos,Judicial,Voluntario unilateral,1,no se otorga,Ninguno,21,Preparatoria o equivalente,Trabaja,Hombre,16,Preparatoria o equivalente,No trabaja,Mujer
2016,12,Guerrero,46,Hopelchén,Judicial,Voluntario unilateral,1,Ambos,Hijos y Divorciante 2,24,Preparatoria o equivalente,Trabaja,Hombre,17,Secundaria o equivalente,No trabaja,Mujer
2016,12,Guerrero,38,Los Cabos,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,17,Preparatoria o equivalente,Trabaja,Mujer,20,Preparatoria o equivalente,Trabaja,Hombre
2016,12,Guerrero,12,Asientos,Judicial,Voluntario unilateral,1,no se otorga,Ninguno,20,Preparatoria o equivalente,Trabaja,Hombre,16,Preparatoria o equivalente,Trabaja,Mujer
2016,12,Guerrero,38,Los Cabos,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,28,Preparatoria o equivalente,Trabaja,Hombre,17,Primaria completa,Trabaja,Mujer
2016,12,Guerrero,38,Los Cabos,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,18,Preparatoria o equivalente,Trabaja,Mujer,22,Secundaria o equivalente,Trabaja,Hombre
2016,12,Guerrero,38,Los Cabos,Judicial,Mutuo consentimiento,1,Divorciante 2,Hijos,22,Primaria completa,Trabaja,Hombre,17,Secundaria o equivalente,No trabaja,Mujer
2017,12,Guerrero,33,La Paz,Judicial,"Abandono de hogar por más de 3 o 6 meses, sin causa justificada",0,no se otorga,Ninguno,18,Secundaria o equivalente,No trabaja,Mujer,26,Secundaria o equivalente,Trabaja,Hombre
2017,12,Guerrero,12,Asientos,Judicial,Voluntario unilateral,2,no se otorga,Ninguno,21,Preparatoria o equivalente,Trabaja,Hombre,18,Secundaria o equivalente,No trabaja,Mujer
